id,category
269,Crimes Against Property
270,Crimes Against Property
271,Crimes Against the Person
272,Other Criminal Code Violations
273,Crimes Against Property
274,Crimes Against Property
275,Crimes Against the Person
276,Other Criminal Code Violations
277,Crimes Against Property
278,Crimes Against Property
279,Crimes Against the Person
280,Crimes Against Property
281,Other Criminal Code Violations
282,Crimes Against Property
283,Crimes Against the Person
284,Crimes Against Property
285,Other Criminal Code Violations
286,Crimes Against Property
287,Crimes Against the Person
288,Crimes Against Property
289,Other Criminal Code Violations
290,Crimes Against Property
291,Crimes Against the Person
292,Crimes Against Property
293,Other Criminal Code Violations
294,Crimes Against Property
295,Crimes Against the Person
296,Crimes Against Property
297,Other Criminal Code Violations
298,Crimes Against Property
299,Crimes Against the Person
300,Crimes Against Property
301,Other Criminal Code Violations
302,Crimes Against Property
303,Crimes Against the Person
304,Crimes Against Property
305,Other Criminal Code Violations
306,Crimes Against Property
307,Crimes Against the Person
308,Crimes Against Property
309,Other Criminal Code Violations
310,Crimes Against Property
311,Crimes Against the Person
312,Crimes Against Property
313,Other Criminal Code Violations
314,Crimes Against Property
315,Crimes Against the Person
316,Crimes Against Property
317,Other Federal Statute Violations
318,Crimes Against Property
319,Crimes Against the Person
320,Crimes Against Property
321,Other Federal Statute Violations
322,Crimes Against the Person
323,Crimes Against Property
324,Crimes Against Property
325,Other Federal Statute Violations
326,Crimes Against Property
327,Crimes Against the Person
328,Crimes Against Property
329,Other Federal Statute Violations
330,Crimes Against Property
331,Crimes Against the Person
332,Crimes Against Property
333,Other Federal Statute Violations
334,Crimes Against Property
335,Crimes Against the Person
336,Crimes Against Property
337,Other Federal Statute Violations
338,Crimes Against Property
339,Crimes Against the Person
340,Crimes Against Property
341,Other Federal Statute Violations
342,Crimes Against Property
343,Crimes Against the Person
344,Crimes Against Property
345,Other Federal Statute Violations
346,Crimes Against Property
347,Crimes Against the Person
348,Crimes Against Property
349,Other Federal Statute Violations
350,Crimes Against Property
351,Crimes Against the Person
352,Crimes Against Property
353,Controlled Drugs and Substances Act
354,Crimes Against Property
355,Controlled Drugs and Substances Act
356,Crimes Against Property
357,Controlled Drugs and Substances Act
358,Controlled Drugs and Substances Act
359,Controlled Drugs and Substances Act
360,Controlled Drugs and Substances Act
361,Controlled Drugs and Substances Act
362,Controlled Drugs and Substances Act
363,Controlled Drugs and Substances Act
364,Controlled Drugs and Substances Act
365,Controlled Drugs and Substances Act
366,Controlled Drugs and Substances Act
367,Crimes Against Property
368,Crimes Against Property
369,Crimes Against Property
370,Crimes Against Property
371,Crimes Against Property
372,Crimes Against Property
373,Crimes Against Property
374,Crimes Against Property
375,Crimes Against Property
376,Crimes Against Property
377,Crimes Against Property
378,Crimes Against Property
379,Crimes Against Property
380,Crimes Against Property
381,Crimes Against Property
382,Crimes Against Property
383,Crimes Against Property
384,Crimes Against Property
385,Crimes Against Property
386,Crimes Against Property
387,Crimes Against Property
388,Crimes Against Property
389,Crimes Against Property
390,Crimes Against Property
391,Crimes Against Property
392,Crimes Against Property
393,Crimes Against Property
394,Crimes Against Property
395,Crimes Against Property
396,Crimes Against Property
397,Crimes Against Property
398,Crimes Against Property
399,Crimes Against Property
400,Crimes Against Property
401,Other Criminal Code Violations
402,Other Criminal Code Violations
403,Other Criminal Code Violations
404,Crimes Against Property
405,Other Criminal Code Violations
406,Other Criminal Code Violations
407,Other Criminal Code Violations
408,Crimes Against Property
409,Other Criminal Code Violations
410,Crimes Against the Person
411,Crimes Against Property
412,Crimes Against Property
413,Controlled Drugs and Substances Act
414,Crimes Against Property
415,Other Criminal Code Violations
416,Crimes Against Property
417,Controlled Drugs and Substances Act
418,Crimes Against Property
419,Crimes Against Property
420,Crimes Against the Person
421,Other Criminal Code Violations
422,Crimes Against Property
423,Crimes Against Property
424,Controlled Drugs and Substances Act
425,Crimes Against Property
426,Crimes Against Property
427,Crimes Against the Person
428,Other Criminal Code Violations
429,Crimes Against Property
430,Crimes Against Property
431,Controlled Drugs and Substances Act
432,Crimes Against Property
433,Crimes Against Property
434,Crimes Against the Person
435,Other Criminal Code Violations
436,Controlled Drugs and Substances Act
437,Crimes Against Property
438,Crimes Against Property
439,Crimes Against Property
440,Crimes Against the Person
441,Crimes Against Property
442,Other Criminal Code Violations
443,Crimes Against the Person
444,Crimes Against Property
445,Crimes Against Property
446,Crimes Against Property
447,Crimes Against Property
448,Controlled Drugs and Substances Act
449,Other Criminal Code Violations
450,Crimes Against the Person
451,Crimes Against Property
452,Crimes Against Property
453,Crimes Against Property
454,Crimes Against Property
455,Controlled Drugs and Substances Act
456,Other Criminal Code Violations
457,Crimes Against the Person
458,Crimes Against Property
459,Crimes Against Property
460,Crimes Against Property
461,Crimes Against Property
462,Controlled Drugs and Substances Act
463,Other Criminal Code Violations
464,Crimes Against the Person
465,Crimes Against Property
466,Crimes Against Property
467,Crimes Against Property
